"Албуров_Георгий" "Алёхина_Мария" "Балух_Владимир" "Барабанов_Андрей" "Беглец_Данил" "Белов_Александр" "Белоусов_Ярослав" "Белых_Никита" "Беньяш_Михаил" "Борисов_Дмитрий" "Волков_Леонид" "Дадин_Ильдар" "Дмитриев_Олег" "Емельянов_Владимир" "Жуков_Егор" "Жуков_Кирилл" "Зимин_Степан" "Климов_Сергей" "Коваленко_Евгений" "Константинов_Даниил" "Косенко_Михаил" "Котляр_Татьяна" "Котов_Константин" "Кривов_Сергей" "Кутаев_Руслан" "Лесных_Егор" "Лоскутов_Артём" "Луцкевич_Денис" "Малышевский_Эдуард" "Мартинцов_Максим" "Мемедеминов_Нариман" "Милосердов_Пётр" "Миняйло_Алексей" "Мордасов_Владислав" "Мыльников_Александр" "Навальный_Алексей_(дело_ИвРоше)" "Навальный_Алексей_(дело_КировЛес)" "Навальный_Олег" "Наумова_Александра" "Новиков_Павел" "Носик_Антон" "Офицеров_Пётр" "Подкопаев_Иван" "Полихович_Андрей" "Прокопьева_Светлана" "Савелов_Артём" "Савостин_Михаил" "Самуцевич_Екатерина" "Сенцов_Олег" "Сидоров_Ян" "Синица_Владислав" "Соколов_Александр" "Соколовский_Руслан" "Титиев_Оюб" "Толоконникова_Надежда" "Устинов_Павел" "Ходорковский_Михаил_(Второе_дело)" "Ходорковский_Михаил_(Первое_дело)" "Чирцов_Никита" "Шишкин_Игорь"
"и" 3.58974358974359 3.37601862630966 2.88461538461538 3.13725490196078 0 2.57913247362251 1.32978723404255 3.19859402460457 4.67764540995095 2.28136882129278 3.92623438429506 1.52621101526211 6.35910224438903 3.06122448979592 2.70513976555455 4.26356589147287 3.69458128078818 4.14041404140414 2.94117647058824 3.67568616041121 3.17725752508361 2.53411306042885 5.92105263157895 0 3.64464692482916 2.02702702702703 3.91872278664732 4.45544554455446 1.44927536231884 2.53807106598985 4.19520547945205 3.03347280334728 2.38095238095238 2.36686390532544 3.2258064516129 2.48815165876777 3.42019543973941 1.61001788908766 5.11033681765389 2.4390243902439 2.83073367995378 2.63157894736842 1.0752688172043 4.43262411347518 3.01441677588467 9.09090909090909 0 3.80952380952381 2.56410256410256 4.3859649122807 2.74566473988439 3.98761835396941 3.76647834274953 2.37885462555066 4.85372340425532 3.06122448979592 4.1740152851264 4.42775763852926 0 2.96296296296296
"в" 3.07692307692308 3.55064027939464 3.20512820512821 2.87581699346405 0 3.69284876905041 4.78723404255319 3.58523725834798 3.34618079887877 5.13307984790875 4.46162998215348 1.45985401459854 5.61097256857855 3.06122448979592 2.79531109107304 2.32558139534884 3.94088669950739 2.79027902790279 2.20588235294118 3.73387644263408 3.17725752508361 4.3859649122807 3.7280701754386 0 2.0501138952164 2.36486486486486 3.77358490566038 3.46534653465347 5.79710144927536 2.03045685279188 2.48287671232877 4.39330543933054 3.57142857142857 1.18343195266272 0 3.43601895734597 3.42019543973941 1.78890876565295 3.01974448315912 3.90243902439024 4.10167533217793 1.91387559808612 0 3.54609929078014 4.32503276539974 0 2.77777777777778 2.85714285714286 2.96896086369771 2.63157894736842 3.17919075144509 3.49599417334304 3.64092906465788 3.67107195301028 2.85904255319149 1.02040816326531 2.82186948853616 3.31434489901605 0 2.96296296296296
"не" 2.56410256410256 1.92083818393481 2.56410256410256 3.52941176470588 6.66666666666667 2.16881594372802 3.72340425531915 2.84710017574692 2.29502452697968 3.04182509505703 1.72516359309935 4.44591904445919 1.74563591022444 5.10204081632653 1.62308385933273 2.32558139534884 2.21674876847291 3.42034203420342 2.94117647058824 2.49248375521288 1.83946488294314 3.89863547758285 2.19298245614035 0 2.0501138952164 3.71621621621622 1.83841315916788 3.96039603960396 4.34782608695652 4.06091370558376 2.48287671232877 2.40585774058577 3.96825396825397 0.591715976331361 0 3.19905213270142 2.03583061889251 2.14669051878354 2.55516840882695 1.46341463414634 1.38648180242634 1.43540669856459 3.2258064516129 1.77304964539007 1.44167758846658 0 5.55555555555556 0.816326530612245 2.56410256410256 0 2.02312138728324 1.51128914785142 2.38543628374137 1.61527165932452 2.32712765957447 3.06122448979592 2.58671369782481 2.40807871569135 7.31707317073171 2.22222222222222
"что" 3.93162393162393 2.85215366705471 1.6025641025641 1.04575163398693 0 2.16881594372802 2.3936170212766 1.96836555360281 1.43658023826209 2.28136882129278 1.24925639500297 3.84870603848706 1.62094763092269 1.02040816326531 1.53291253381425 2.32558139534884 2.95566502463054 1.35013501350135 0.735294117647059 2.10454854039375 1.33779264214047 0.779727095516569 1.31578947368421 0 2.96127562642369 2.02702702702703 1.83841315916788 2.97029702970297 0 2.03045685279188 1.88356164383562 1.67364016736402 2.38095238095238 2.36686390532544 0 2.72511848341232 2.76872964169381 2.14669051878354 3.2520325203252 0.975609756097561 1.50202195262854 3.58851674641148 0 0.886524822695035 1.31061598951507 0 0 1.08843537414966 2.96896086369771 1.75438596491228 3.03468208092486 1.07428987618354 4.14312617702448 1.46842878120411 1.99468085106383 2.04081632653061 1.82245737801293 1.3982392542724 2.4390243902439 2.96296296296296
"я" 0.854700854700855 1.0477299185099 2.24358974358974 3.39869281045752 6.66666666666667 1.28956623681125 3.98936170212766 1.5817223198594 1.10371408549404 2.09125475285171 0.892325996430696 3.91506303915063 1.99501246882793 5.10204081632653 0.811541929666366 0.775193798449612 2.21674876847291 2.34023402340234 2.94117647058824 1.1541072640869 0.167224080267559 1.46198830409357 3.50877192982456 0 5.69476082004556 4.39189189189189 1.9351717464925 2.47524752475248 4.34782608695652 4.56852791878173 0.856164383561644 3.13807531380753 5.55555555555556 5.32544378698225 3.2258064516129 2.96208530805687 4.23452768729642 2.50447227191413 2.32288037166086 7.31707317073171 1.32871172732525 2.87081339712919 4.3010752688172 0.531914893617021 2.09698558322412 0 8.33333333333333 0.136054421768707 2.42914979757085 0.87719298245614 3.03468208092486 0.127458120903132 4.39422473320778 1.73274596182085 0.86436170212766 9.18367346938776 1.58730158730159 1.3982392542724 7.31707317073171 7.40740740740741
"на" 0.341880341880342 1.10593713620489 0.961538461538462 1.96078431372549 0 2.2274325908558 2.12765957446809 1.65202108963093 0.858444288717589 2.47148288973384 1.18976799524093 0.86264100862641 1.74563591022444 0 2.34445446348061 0 2.46305418719212 0.99009900990099 1.47058823529412 1.52264571816507 1.67224080267559 0.974658869395711 1.75438596491228 0 0.683371298405467 1.35135135135135 1.45137880986938 0.99009900990099 2.89855072463768 1.01522842639594 0.856164383561644 1.98744769874477 1.19047619047619 1.77514792899408 0 1.00710900473934 0.895765472312704 1.25223613595707 1.50987224157956 0 1.21317157712305 1.43540669856459 1.0752688172043 1.77304964539007 1.70380078636959 0 0 1.08843537414966 1.75438596491228 0.87719298245614 1.73410404624277 1.29278951201748 1.06716886377903 1.02790014684288 1.29654255319149 3.06122448979592 0.999412110523222 0.854479544277576 2.4390243902439 0
"это" 2.22222222222222 1.0477299185099 0.641025641025641 1.43790849673203 0 0.879249706916764 0.531914893617021 0.984182776801406 0.928521373510862 0.950570342205323 1.48720999405116 1.52621101526211 0.124688279301746 1.02040816326531 1.26239855725879 1.16279069767442 0.246305418719212 0.99009900990099 0.735294117647059 1.28018620890311 1.50501672240803 0.584795321637427 0.657894736842105 0 0.911161731207289 1.01351351351351 0.725689404934688 1.48514851485149 0 1.01522842639594 1.79794520547945 0.941422594142259 0.396825396825397 1.18343195266272 3.2258064516129 1.30331753554502 1.30293159609121 2.14669051878354 1.39372822299652 0.48780487804878 0.288850375505488 1.67464114832536 2.1505376344086 0.531914893617021 0.917431192660551 0 0 0.272108843537415 0.944669365721997 0.87719298245614 0.867052023121387 0.491624180626366 1.63214061519146 1.35095447870778 1.36303191489362 0 0.881834215167548 0.647332988089073 0 2.22222222222222
"с" 0.683760683760684 0.873108265424913 0.480769230769231 0.392156862745098 6.66666666666667 0.879249706916764 0.265957446808511 1.54657293497364 0.75332866152768 0.570342205323194 1.07079119571684 0.86264100862641 0.623441396508728 0 0.991884580703336 0.387596899224806 0.492610837438424 0.18001800180018 2.20588235294118 0.785568810008729 1.00334448160535 1.07212475633528 1.09649122807018 0 0.683371298405467 0.675675675675676 1.20948234155781 0 1.44927536231884 1.52284263959391 1.28424657534247 1.35983263598326 0 0 3.2258064516129 0.888625592417062 0.651465798045603 0.536672629695885 0.580720092915215 0.975609756097561 0.924321201617562 0 0 0.354609929078014 0.524246395806029 0 0 1.36054421768707 0.67476383265857 0.87719298245614 0.867052023121387 0.892206846321923 1.00439422473321 0.910425844346549 0.764627659574468 0 0.881834215167548 0.880372863801139 0 0.740740740740741
"как" 0.170940170940171 1.62980209545984 1.28205128205128 0.130718954248366 0 0.468933177022274 0.265957446808511 0.808435852372584 0.858444288717589 1.14068441064639 0.356930398572278 0.79628400796284 0.249376558603491 1.02040816326531 0.721370604147881 0.775193798449612 0.492610837438424 1.44014401440144 1.47058823529412 0.756473668897294 0.501672240802676 0.194931773879142 0.219298245614035 0 0 0.675675675675676 0.338655055636188 0 1.44927536231884 0.50761421319797 0.856164383561644 0.627615062761506 0.396825396825397 0 0 0.177725118483412 0.895765472312704 0.35778175313059 0.813008130081301 0.48780487804878 0.693240901213172 0.478468899521531 2.1505376344086 0.709219858156028 0.131061598951507 0 2.77777777777778 0.952380952380952 1.34952766531714 1.75438596491228 0.867052023121387 0.473415877640204 0.816070307595731 0.587371512481645 0.631648936170213 2.04081632653061 0.529100529100529 0.569653029518384 0 1.48148148148148
"по" 0.854700854700855 0.116414435389988 0.320512820512821 0.65359477124183 0 0.703399765533411 0.531914893617021 0.738137082601054 0.543097407147863 1.90114068441065 1.54669839381321 0.79628400796284 0.748129675810474 0 0.541027953110911 1.55038759689922 1.23152709359606 0.54005400540054 0 0.640093104451557 0.167224080267559 0.779727095516569 0.87719298245614 0 0 1.01351351351351 0.435413642960813 0 0 0.50761421319797 0.342465753424658 0.418410041841004 0 0.591715976331361 0 0.651658767772512 0.0814332247557003 1.43112701252236 0.348432055749129 0 0.751010976314269 0.478468899521531 1.0752688172043 0.886524822695035 0.524246395806029 0 0 0.952380952380952 0.404858299595142 0.87719298245614 0.867052023121387 1.27458120903132 0.627746390458255 0.79295154185022 0.498670212765957 0 0.470311581422693 0.466079751424133 0 0
